YouTube,Notes,Length,ID,Author_English,Title_English,Author_Marathi,Title_Marathi,Acts,Genre,First Performance Year,Submitted By,Males,Females,Pages,Property,Year of Writing,Availability,Certified By,Length (in minutes),Select,Performance Dates,Date,
https://youtu.be/vC9da6CoppA?si=gPH6rMzjnXtksbkm,,0,157,Dr. Chandrashekhar Phansalkar,Tax Free,डॉ. चंद्रशेखर फणसळकर,टॅक्स फ्री,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
none,,0,165,Makarand Sathe,Thombya,मकरंद साठे,ठोंब्या,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=7szoSdiSozc,,0,109,Anant Manohar,Daav Manduni,अनंत मनोहर,डाव मांडुनी,1,,2024,Solapur team,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=3n0pTJypm8w,,0,62,Ratnakar Matkari,Dreamsellers International,रत्नाकर मतकरी,ड्रिमसेलर्स इंटरनॅशनल,1,,2024,Mukund Marathe,0,0,0,,0,,,0,0,,,
https://youtube.com/watch?v=Ji0fP14q2fY&si=BM41T36eIRuQHG9N,,0,155,C P Deshpande,Dholtashe,चं प्र  देशपांडे ,ढोलताशे ,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=FqeFk1gJ-BE,,123,5, Pradip Vaidya,Tichi 17 Prakarane,प्रदीप वैद्य,तिची १७ प्रकरणे,2,,2024,Anand Ghanekar,0,0,0,,0,,,0,0,,,
https://youtu.be/W3bjaZXekaA?si=mKsKCMB0z-yhuQ_K,,0,72,Dhanda Kulkarni-Gadkar,Ti Yete Anik Jate,धनदा कुलकर्णी-गदगकर,ती येते आणिक जाते,1,,2024,Mugdha Kulkarni,0,0,0,,0,,,0,0,,,
(Trailer)https://www.youtube.com/watch?v=sz7APdck8vA,,0,20,Sai Paranjpye,Tujhi Majhi Jodi,सई परांजपे,तुझी माझी जोडी,2,,2024,Mukund Marathe,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=sTZGYKAWc_4,,163,32,Pu La Deshpande,Tujhe Ahe Tujhpashi,पु.ल. देशपांडे,तुझे आहे तुजपाशी,2,,2024,JayPrakash Chipalkatti,0,0,0,,0,,,0,0,,,
https://youtu.be/O0XHct-FDTk?si=ihPXC6mUUj2sm5rw,,0,51,Tejas Ranade,Teri Bhi Chup,तेजस रानडे,तेरी भी चूप ,1,,2024,Mukund Marathe,0,0,0,,0,,,0,0,,,
none,,0,173,Baadal Sarkar,Third Theatre,बादल सरकार,थर्ड थिएटर,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
None,,0,12, Madhav Vaze,The Exterminator,माधव वझे,द एक्सटर्मिनेटर,1.5,,2024,Anand Ghanekar,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=QrYttmKHTaM,Reading; 2 scripts,73,107,Amey Dakshindas ,The Conscience,अमेय दक्षिणदास,द कॉंशन्स,1,,2024,,0,0,0,,0,,,0,0,,,
None,,0,125,Ganesh Matkari,The Father ,गणेश मतकरी,द फादर,0,,2024,,0,0,0,,0,,,0,0,,,
none,,0,167,Makarand Sathe,Dalpatsingh Yeta Gaava,मकरंद साठे,दलपतसिग येता गावा,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
None,,0,63,Kshitij Patwardhan,2 Special,क्षितिज पटवर्धन ,दोन स्पेशल ,3,,2024,Chakrapani Chitnis,0,0,0,,0,,,0,0,,,
None,,0,71,Laxman Londhe,Dharmayoddha,लक्ष्मण लोंढे,धर्मयोद्धा,1,,2024,Chaitanya Godsay,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=PUQMgr5wLfc,clip,3,87,D M Mirasdar ,Nadikathcha Prakar,द मा मिरासदार ,नदीकाठचा प्रकार,1,,2024,Neeraj Kulkarni,0,0,0,,0,,,0,0,,,
None,,0,154,Arvind Vishwanath Kulkarni,Nahi Manaas Udhar,अरविंद विश्वनाथ कुलकर्णी,नाही मनास उधार ,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
None,,0,23,Jyotsna Deodhar ,Pandita Ranabaai Abhivachan ,ज्योत्स्ना देवधर,पंडिता रमाबाई-अभिवाचन,1,,2024,वसुंधरा गोविंद पर्वते,0,0,0,,0,,,0,0,,,
None,,0,161,Dr. Chandrashekhar Phansalkar,Paach Panchvis,डॉ. चंद्रशेखर फणसळकर,पाच पंचवीस,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
None,,0,53,Unknown,Partners,Unknown,पार्टनर्स,1,,2024,Harshada Natekar ,0,0,0,,0,,,0,0,,,
None,,0,114,Mahesh Elkunchwar,Party,महेश एलकुंचवार,पार्टी,2,,2024,,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?app=desktop&v=8SAQ1owcZek,,0,98,Sandesh Kulkarni,Punascha Honeymoon,संदेश कुलकर्णी,पुनश्च हनीमून,2,,2024,Mukund Marathe,0,0,0,,0,,,0,0,,,
None,,0,17,Girish Datar,Popati Chaukat,गिरीश दातार,पोपटी चौकट,1,,2024,Smita Khole,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=bllCy2J2pek,,90,76,Mahesh Elkunchwar,Pratibimb,महेश एलकुंचवार,प्रतिबिंब,1,,2024,Vidyullata Mahabal,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=COpmVu9EYI0,Actual Performance,41,9,Dr. Chandrashekhar Phansalkar,Pratham Purushi,डॉ. चंद्रशेखर फणसळकर,प्रथम पुरुषी,1,,2024,Avadhoot Bhambare,0,0,0,,0,,,0,0,,,
none,,0,170,Vilas Sarang,Prasthan  ,विलास सारंग,प्रस्थान ,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
None,,0,106,Makarand Sathe,Prasthan Urfa Exit,मकरंद साठे,प्रस्थान उर्फ एक्झिट,2,,2024,Mukund Marathe,0,0,0,,0,,,0,0,,,
None,,0,29,Kiran Patrekar,Prasangik Karaar,किरण पोत्रेकर,प्रासंगिक करार ,1,,2024,Avadhoot Bhambare,0,0,0,,0,,,0,0,,,
None,,0,117,Shyam Manohar,Priyanka Ani Don Chor,श्याम मनोहर,प्रियंका आणि दोन चोर,2,,2024,,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=O2mtD2mNzCk,,0,128,Vasant Kanetkar,Prema Tujha Rang Kasa,वसंत कानेटकर,प्रेमा तुझा रंग कसा,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
None,,0,33,Dilip Prabhavalkar,Phakta Striyansathi,दिलीप प्रभावळकर,फक्त स्त्रियांसाठी,1,,2024,Sneha Gharpure,0,0,0,,0,,,0,0,,,
None,,0,3,Gangadhar Gadgil,Bandu Nanu Aani Gulabi Hatti,गंगाधर गाडगीळ,बंडू नानू आणि गुलाबी हत्ती,1,,2024,Chaitanya Godsay,0,0,0,,0,,,0,0,"March 19, 2025","March 21, 2025",
https://www.youtube.com/watch?v=MZlTjI4sa68,Hindi,0,115, Manav Kaul,Bali Aur Shambhu (Hindi script),मानव कौल,बली और शंभू,2,,2024,,0,0,0,,0,,,0,0,,,
None,,0,13,Sateesh Alekar,Bus-Stop,सतीश आळेकर,बस स्टॉप,1,,2024,Neeraj Kulkarni,0,0,0,,0,,,0,0,,,
,,0,78,Satish Tambe,Binbaykancha Jagaat,सतीश तांबे,बिनबायकांच्या जगात,1,,2024,Avadhoot Bhambare,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=4DMXUOJgrGg,,99,118,C P Deshpande,Buddhibal ani Zabbu,चं प्र देशपांडे ,बुद्धिबळ आणि झब्बू ,2,,2024,,0,0,0,,0,,,0,0,,,
https://youtu.be/4DMXUOJgrGg?si=Yuxy2Rg7D1uvMRq4,,0,151,C P Deshpande,Buddhibal ani Zabbu,चं प्र  देशपांडे ,बुद्धिबळ आणि झब्बू ,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
https://youtu.be/ZW73zW21eXQ?si=qlnCv4tz4ETJyLoR,,158,8,Jaywant Dalvi,Barrister,जयवंत दळवी,बॅरिस्टर ,2,,2024,Mukund Marathe,0,0,0,,0,,,0,0,,,
",https://www.imdb.com/title/tt34145254/, ",,100,100,Paresh Mokashi,Bombilwadi,परेश मोकाशी,बोंबीलवाडी,2,,2024,Avadhoot Bhambare,0,0,0,,0,,,0,0,,,
None,,0,14,Rajenda Pophale,Briefcase,राजेंद्र पोफळे,ब्रिफकेस,1,,2024,Parag Kilche,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=hx2YWmRchsw,,0,56,Va. Pu. Kale,Blue Film,व. पु. काळे,ब्लू फिल्म,1,,2024,Avadhoot Bhambare,0,0,0,,0,,,0,0,,,
None,,0,141,Shafaat Khan,Bhumiticha Farce,शफाअत खान,भूमितीचा फार्स ,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
none,,0,127,Mama Varekar,Bhumikanya Sita,मामा वरेरकर,भूमीकन्या सीता ,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
None,,0,55,Tara Vanarse,Bhovra,तारा वनारसे,भोवरा,1,,2024,JayPrakash Chipalkatti,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=bYX5fxO99HU,,30,81,Pu La Deshpande,Bhraman Mandal,पु.ल. देशपांडे,भ्रमण मंडळ,1,,2024,Mukund Marathe,0,0,0,,0,,,0,0,,,
None,,59,123,Nishikant Kamat,Manjula,निशीकांत कामत,मंजुळा,1,,2024,,0,0,0,,0,,,0,0,,,
